text,label
Flight AA456 is now boarding at gate 12 ref81,ham
Get cheap Cialis online no prescription needed ref82,spam
Thanks for your help today ref83,ham
You are a winner of our £1000 prize draw ref84,spam
Your Uber driver is 2 minutes away ref85,ham
Click here to claim your prize NOW ref86,spam
See you at the gym tomorrow morning ref87,ham
Your account will be suspended verify immediately ref88,spam
The report is ready for review ref89,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 ref90,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet ref91",ham
WINNER!! As a valued network customer you have been selected ref92,spam
Had your mobile 11 months or more? U R entitled to Update to the latest ref93,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight ref94,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! ref95",spam
I've been searching for the right words to thank you for this breather ref96,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575 ref97",spam
Your verification code is 847291 ref98,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784 ref99,ham
Claim your FREE iPhone now click bit.ly/fake ref100,spam
Meeting moved to 3pm in conference room B ref101,ham
Congratulations! You've been selected for a $1000 Walmart gift card ref102,spam
Your appointment is confirmed for Tuesday at 10am ref103,ham
Lowest rate mortgage guaranteed apply now ref104,spam
Dinner at 7? Let me know ref105,ham
You have WON a Nokia 7250i. Call 09061701461 from landline ref106,spam
Your package will arrive tomorrow between 2-4pm ref107,ham
Earn $5000/week working from home ref108,spam
Can you pick up milk on the way home? ref109,ham
URGENT we are trying to contact you. Last weekend's draw shows that you won ref110,spam
Flight AA456 is now boarding at gate 12 ref111,ham
Get cheap Cialis online no prescription needed ref112,spam
Thanks for your help today ref113,ham
You are a winner of our £1000 prize draw ref114,spam
Your Uber driver is 2 minutes away ref115,ham
Click here to claim your prize NOW ref116,spam
See you at the gym tomorrow morning ref117,ham
Your account will be suspended verify immediately ref118,spam
The report is ready for review ref119,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 ref120,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet ref121",ham
WINNER!! As a valued network customer you have been selected ref122,spam
Had your mobile 11 months or more? U R entitled to Update to the latest ref123,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight ref124,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! ref125",spam
I've been searching for the right words to thank you for this breather ref126,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575 ref127",spam
Your verification code is 847291 ref128,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784 ref129,ham
Claim your FREE iPhone now click bit.ly/fake ref130,spam
Meeting moved to 3pm in conference room B ref131,ham
Congratulations! You've been selected for a $1000 Walmart gift card ref132,spam
Your appointment is confirmed for Tuesday at 10am ref133,ham
Lowest rate mortgage guaranteed apply now ref134,spam
Dinner at 7? Let me know ref135,ham
You have WON a Nokia 7250i. Call 09061701461 from landline ref136,spam
Your package will arrive tomorrow between 2-4pm ref137,ham
Earn $5000/week working from home ref138,spam
Can you pick up milk on the way home? ref139,ham
URGENT we are trying to contact you. Last weekend's draw shows that you won ref140,spam
Flight AA456 is now boarding at gate 12 ref141,ham
Get cheap Cialis online no prescription needed ref142,spam
Thanks for your help today ref143,ham
You are a winner of our £1000 prize draw ref144,spam
Your Uber driver is 2 minutes away ref145,ham
Click here to claim your prize NOW ref146,spam
See you at the gym tomorrow morning ref147,ham
Your account will be suspended verify immediately ref148,spam
The report is ready for review ref149,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 ref150,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet ref151",ham
WINNER!! As a valued network customer you have been selected ref152,spam
Had your mobile 11 months or more? U R entitled to Update to the latest ref153,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight ref154,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! ref155",spam
I've been searching for the right words to thank you for this breather ref156,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575 ref157",spam
Your verification code is 847291 ref158,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784 ref159,ham
Claim your FREE iPhone now click bit.ly/fake ref160,spam
Meeting moved to 3pm in conference room B ref161,ham
Congratulations! You've been selected for a $1000 Walmart gift card ref162,spam
Your appointment is confirmed for Tuesday at 10am ref163,ham
Lowest rate mortgage guaranteed apply now ref164,spam
Dinner at 7? Let me know ref165,ham
You have WON a Nokia 7250i. Call 09061701461 from landline ref166,spam
Your package will arrive tomorrow between 2-4pm ref167,ham
Earn $5000/week working from home ref168,spam
Can you pick up milk on the way home? ref169,ham
URGENT we are trying to contact you. Last weekend's draw shows that you won ref170,spam
Flight AA456 is now boarding at gate 12 ref171,ham
Get cheap Cialis online no prescription needed ref172,spam
Thanks for your help today ref173,ham
You are a winner of our £1000 prize draw ref174,spam
Your Uber driver is 2 minutes away ref175,ham
Click here to claim your prize NOW ref176,spam
See you at the gym tomorrow morning ref177,ham
Your account will be suspended verify immediately ref178,spam
The report is ready for review ref179,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 ref180,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet ref181",ham
WINNER!! As a valued network customer you have been selected ref182,spam
Had your mobile 11 months or more? U R entitled to Update to the latest ref183,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight ref184,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! ref185",spam
I've been searching for the right words to thank you for this breather ref186,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575 ref187",spam
Your verification code is 847291 ref188,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784 ref189,ham
Claim your FREE iPhone now click bit.ly/fake ref190,spam
Meeting moved to 3pm in conference room B ref191,ham
Congratulations! You've been selected for a $1000 Walmart gift card ref192,spam
Your appointment is confirmed for Tuesday at 10am ref193,ham
Lowest rate mortgage guaranteed apply now ref194,spam
Dinner at 7? Let me know ref195,ham
You have WON a Nokia 7250i. Call 09061701461 from landline ref196,spam
Your package will arrive tomorrow between 2-4pm ref197,ham
Earn $5000/week working from home ref198,spam
Can you pick up milk on the way home? ref199,ham
